priority,image_filename,title,slug,tier,cluster,primary_keyword,article_written,authored_by_project,image_exists
1,resume-scores-low-but-reads-well.png,Why Your Resume Scores Low on ATS but Reads Perfectly to a Human,resume-scores-low-but-reads-well,Tier 1,ATS Optimization,resume ats score low but looks good,yes,yes,no
2,good-ats-score-when-to-stop.png,"What Counts as a Good ATS Score, and When to Stop Optimizing",good-ats-score-when-to-stop,Tier 1,ATS Optimization,what is a good ats score percentage,yes,yes,no
3,ats-score-dropped-after-edit.png,My ATS Score Dropped After I Edited My Resume — What Happened,ats-score-dropped-after-edit,Tier 1,ATS Optimization,ats score went down after editing,yes,yes,no
4,how-to-read-your-ats-report.png,How to Read an ATS Report Without Chasing Every Missing Keyword,how-to-read-your-ats-report,Tier 1,ATS Optimization,how to read ats report,yes,yes,no
5,ats-missing-skills-to-ignore.png,Missing Keywords Your ATS Scan Flags That You Should Ignore,ats-missing-skills-to-ignore,Tier 1,ATS Optimization,ats missing keywords ignore,yes,yes,no
6,high-ats-score-no-interviews.png,"High ATS Score, Still No Interviews: What to Check Next",high-ats-score-no-interviews,Tier 1,ATS Optimization,high ats score no interview,yes,yes,no
7,weak-bullets-behind-good-score.png,A Strong Score With Weak Bullets: The Gap Scanners Can't See,weak-bullets-behind-good-score,Tier 1,ATS Optimization,ats score vs bullet quality,yes,yes,no
8,ats-score-vs-recruiter-judgment.png,ATS Score vs Recruiter Judgment: Which One Actually Gets the Call,ats-score-vs-recruiter-judgment,Tier 1,ATS Optimization,ats score vs recruiter opinion,yes,yes,no
9,why-ats-checkers-disagree.png,Why Two ATS Checkers Give You Two Different Scores,why-ats-checkers-disagree,Tier 1,ATS Optimization,different ats checkers different scores,yes,yes,no
10,how-many-keywords-on-resume.png,How Many Keywords Should You Actually Add to a Resume,how-many-keywords-on-resume,Tier 1,ATS Optimization,how many keywords on a resume,yes,yes,no
11,where-to-place-keywords-resume.png,Where to Place Keywords on a Resume So They Actually Count,where-to-place-keywords-resume,Tier 1,ATS Optimization,where to put keywords on resume,yes,yes,no
12,ats-exact-match-vs-synonym.png,Exact Keyword or Synonym: Which One Does the ATS Credit,ats-exact-match-vs-synonym,Tier 1,ATS Optimization,ats exact match vs synonym,yes,yes,no
13,keyword-stuffing-vs-coverage.png,Keyword Stuffing vs Keyword Coverage: The Line Recruiters Notice,keyword-stuffing-vs-coverage,Tier 1,ATS Optimization,resume keyword stuffing penalty,yes,yes,no
14,white-text-keyword-trick.png,Hidden White Text Keywords: Why This Trick Gets You Blacklisted,white-text-keyword-trick,Tier 1,ATS Optimization,white text resume keywords,yes,yes,no
15,use-posting-job-title.png,Should You Use the Exact Job Title From the Posting?,use-posting-job-title,Tier 1,ATS Optimization,use job title from posting on resume,yes,yes,no
16,nonstandard-job-title-fix.png,Your Internal Job Title Doesn't Match the Market — How to Fix It,nonstandard-job-title-fix,Tier 1,ATS Optimization,internal job title vs standard title,yes,yes,no
17,two-column-resume-ats-safe.png,Two-Column Resumes and ATS: When They're Safe and When They Break,two-column-resume-ats-safe,Tier 1,ATS Optimization,two column resume ats safe,yes,yes,no
18,employment-dates-parsed-wrong.png,Your Employment Dates Parsed Wrong and Shortened Your Experience,employment-dates-parsed-wrong,Tier 1,ATS Optimization,ats wrong employment dates,yes,yes,no
19,parsing-errors-delete-a-job.png,Parsing Errors That Silently Delete an Entire Job,parsing-errors-delete-a-job,Tier 1,ATS Optimization,resume parsing deleted job,yes,yes,no
20,copy-paste-ats-test.png,The 30-Second Copy-Paste Test for ATS Readability,copy-paste-ats-test,Tier 1,ATS Optimization,resume copy paste test,yes,yes,no
21,what-to-change-when-tailoring.png,What to Change and What to Leave When You Tailor a Resume,what-to-change-when-tailoring,Tier 1,Resume Tailoring,what to change when tailoring resume,yes,yes,no
22,tailoring-in-ten-minutes.png,Tailoring a Resume in Ten Minutes Without Rewriting It,tailoring-in-ten-minutes,Tier 1,Resume Tailoring,tailor resume quickly,yes,yes,no
